product_id,season_id
0f4ce8eb-155e-4351-a33f-7f3d32f9beaa,0
0f4ce8eb-155e-4351-a33f-7f3d32f9beaa,1
0f4ce8eb-155e-4351-a33f-7f3d32f9beaa,2
0f4ce8eb-155e-4351-a33f-7f3d32f9beaa,3
043a083d-8a20-4dae-89f0-0356c474041d,0
043a083d-8a20-4dae-89f0-0356c474041d,1
043a083d-8a20-4dae-89f0-0356c474041d,2
043a083d-8a20-4dae-89f0-0356c474041d,3
c8253401-5e45-4e05-adb0-f3437f690d36,0
c8253401-5e45-4e05-adb0-f3437f690d36,1
c8253401-5e45-4e05-adb0-f3437f690d36,2
c8253401-5e45-4e05-adb0-f3437f690d36,3
bbfbb0da-404d-4a93-9ecf-e68ca8fd33f7,0
bbfbb0da-404d-4a93-9ecf-e68ca8fd33f7,1
bbfbb0da-404d-4a93-9ecf-e68ca8fd33f7,2
bbfbb0da-404d-4a93-9ecf-e68ca8fd33f7,3
3dcac295-ec3f-4f24-b20d-23ee72f5bdd4,0
3dcac295-ec3f-4f24-b20d-23ee72f5bdd4,1
3dcac295-ec3f-4f24-b20d-23ee72f5bdd4,2
3dcac295-ec3f-4f24-b20d-23ee72f5bdd4,3
bf140194-6e12-4468-a4d0-b0982dd6a917,0
bf140194-6e12-4468-a4d0-b0982dd6a917,1
bf140194-6e12-4468-a4d0-b0982dd6a917,2
bf140194-6e12-4468-a4d0-b0982dd6a917,3
a2fcef11-86fc-49b8-9522-5b6d52eaeeb6,0
a2fcef11-86fc-49b8-9522-5b6d52eaeeb6,1
a2fcef11-86fc-49b8-9522-5b6d52eaeeb6,2
a2fcef11-86fc-49b8-9522-5b6d52eaeeb6,3
300dbd1d-da32-48d0-a404-e903fe6b2aa5,0
300dbd1d-da32-48d0-a404-e903fe6b2aa5,1
300dbd1d-da32-48d0-a404-e903fe6b2aa5,2
300dbd1d-da32-48d0-a404-e903fe6b2aa5,3
cc79024c-c401-4c0d-bcc8-d3bf93997fa1,0
cc79024c-c401-4c0d-bcc8-d3bf93997fa1,1
cc79024c-c401-4c0d-bcc8-d3bf93997fa1,2
cc79024c-c401-4c0d-bcc8-d3bf93997fa1,3
c457d2af-561e-4dce-b2bf-d72ed0fe74a7,0
c457d2af-561e-4dce-b2bf-d72ed0fe74a7,1
c457d2af-561e-4dce-b2bf-d72ed0fe74a7,2
c457d2af-561e-4dce-b2bf-d72ed0fe74a7,3
e61267fd-cde6-4cfb-9834-eae8a9e67038,0
e61267fd-cde6-4cfb-9834-eae8a9e67038,1
e61267fd-cde6-4cfb-9834-eae8a9e67038,2
e61267fd-cde6-4cfb-9834-eae8a9e67038,3
1535801c-60f8-4514-aa20-aa8b153e675b,0
1535801c-60f8-4514-aa20-aa8b153e675b,1
1535801c-60f8-4514-aa20-aa8b153e675b,2
1535801c-60f8-4514-aa20-aa8b153e675b,3
196f2194-d84a-45e2-b749-23a60690e69f,0
196f2194-d84a-45e2-b749-23a60690e69f,1
196f2194-d84a-45e2-b749-23a60690e69f,2
196f2194-d84a-45e2-b749-23a60690e69f,3
136c9675-de13-476f-a564-d86cf47472b6,0
136c9675-de13-476f-a564-d86cf47472b6,1
136c9675-de13-476f-a564-d86cf47472b6,2
136c9675-de13-476f-a564-d86cf47472b6,3
62bb2c6c-45eb-4815-8593-aebfef90cdf2,0
62bb2c6c-45eb-4815-8593-aebfef90cdf2,1
62bb2c6c-45eb-4815-8593-aebfef90cdf2,2
62bb2c6c-45eb-4815-8593-aebfef90cdf2,3
f34eb3db-496f-4f27-8004-bb1fcf8b3d26,0
f34eb3db-496f-4f27-8004-bb1fcf8b3d26,1
f34eb3db-496f-4f27-8004-bb1fcf8b3d26,2
f34eb3db-496f-4f27-8004-bb1fcf8b3d26,3
65873e63-5134-4344-a5ed-ab5e40cf14bd,0
65873e63-5134-4344-a5ed-ab5e40cf14bd,1
65873e63-5134-4344-a5ed-ab5e40cf14bd,2
65873e63-5134-4344-a5ed-ab5e40cf14bd,3
f1f38c3b-23c9-4fd8-a13c-1fc2c837c5f0,0
f1f38c3b-23c9-4fd8-a13c-1fc2c837c5f0,1
f1f38c3b-23c9-4fd8-a13c-1fc2c837c5f0,2
f1f38c3b-23c9-4fd8-a13c-1fc2c837c5f0,3
f142ea16-8204-4b70-b3e1-a4c37b9dcc6b,0
f142ea16-8204-4b70-b3e1-a4c37b9dcc6b,1
f142ea16-8204-4b70-b3e1-a4c37b9dcc6b,2
f142ea16-8204-4b70-b3e1-a4c37b9dcc6b,3
5a39e5f8-80c1-4791-8b49-c3db2ac5ff4a,0
5a39e5f8-80c1-4791-8b49-c3db2ac5ff4a,1
5a39e5f8-80c1-4791-8b49-c3db2ac5ff4a,2
5a39e5f8-80c1-4791-8b49-c3db2ac5ff4a,3
ca768b5b-7753-4aae-a4b3-e3756ed8497c,0
ca768b5b-7753-4aae-a4b3-e3756ed8497c,1
ca768b5b-7753-4aae-a4b3-e3756ed8497c,2
ca768b5b-7753-4aae-a4b3-e3756ed8497c,3
46c6b32f-841b-4c01-8055-4b2d02af74d8,0
46c6b32f-841b-4c01-8055-4b2d02af74d8,1
46c6b32f-841b-4c01-8055-4b2d02af74d8,2
46c6b32f-841b-4c01-8055-4b2d02af74d8,3
d38bb597-5487-4731-974a-920dcc074520,0
d38bb597-5487-4731-974a-920dcc074520,1
d38bb597-5487-4731-974a-920dcc074520,2
d38bb597-5487-4731-974a-920dcc074520,3
6cc7da11-2d22-40e9-bcde-a21747806b08,0
6cc7da11-2d22-40e9-bcde-a21747806b08,1
6cc7da11-2d22-40e9-bcde-a21747806b08,2
6cc7da11-2d22-40e9-bcde-a21747806b08,3
450a1042-c2dd-4249-b56f-d95d82e5e9dd,0
450a1042-c2dd-4249-b56f-d95d82e5e9dd,1
450a1042-c2dd-4249-b56f-d95d82e5e9dd,2
450a1042-c2dd-4249-b56f-d95d82e5e9dd,3
44c29558-b080-4259-bd35-0a016b94bfc3,0
58e4264b-001f-4ceb-8f56-eefca9673213,0
f0638e41-2049-4f56-b261-a256f49a493e,0
b2de2c0c-8421-4bb3-a7ae-8794dfd2af85,0
a09c5bab-6908-4418-bc89-88cc84c58627,0
5d6d0783-4a65-4791-941b-47a6db44525b,0
f1912471-3a86-42ff-b785-0c9058789f68,0
88dde8d9-f02d-429d-bcce-337f7f78a658,0
2198e61b-5c1f-414f-b1f9-cb6bfaef4251,0
4ede4cad-0cd2-4c0a-9c7e-3d565ae9226c,0
c5f904eb-5d47-480f-8f73-6252b6e302a9,0
0c06d519-2a1f-4dbf-8408-0adc7036f014,0
2802eb68-74b8-4cc9-b5fd-4d8ff0d3423f,0
6d009f77-64a4-4262-8858-f61cb1dde0c2,0
e62474db-1a66-4212-8b05-4c035296ff7a,0
df9eee22-b3d6-40d6-a45c-a18277b4efa3,0
5f42c4f0-7101-4fcf-bc11-81f95f691d9a,0
1f0ad63c-92c3-4bb0-8281-a484dd5a4442,0
107a9177-9225-4c39-8c3e-79cb4ae1b132,0
b7b60b5c-7e1b-4155-89e8-17ac5fe580cd,0
5192a0d2-a22c-465d-95ea-cde57fda03ab,0
6088431f-478a-459f-a53e-c03dfd8c2d05,0
6088431f-478a-459f-a53e-c03dfd8c2d05,1
6088431f-478a-459f-a53e-c03dfd8c2d05,2
6088431f-478a-459f-a53e-c03dfd8c2d05,3
d73b60cd-cb3b-4278-b6f7-24823cbd2a2e,0
d73b60cd-cb3b-4278-b6f7-24823cbd2a2e,1
d73b60cd-cb3b-4278-b6f7-24823cbd2a2e,2
d73b60cd-cb3b-4278-b6f7-24823cbd2a2e,3
