id,vendor_id,name,description,category_id,price,is_available,image_url,created_at,updated_at
0f4ce8eb-155e-4351-a33f-7f3d32f9beaa,24c27e01-548a-40f8-974c-2eefbdf4a0fd,ほうき,,57b32c4e-0985-42be-af4b-e2869889cf94,,true,,,
043a083d-8a20-4dae-89f0-0356c474041d,24c27e01-548a-40f8-974c-2eefbdf4a0fd,タオル,,57b32c4e-0985-42be-af4b-e2869889cf94,,true,,,
c8253401-5e45-4e05-adb0-f3437f690d36,24c27e01-548a-40f8-974c-2eefbdf4a0fd,石鹸,,57b32c4e-0985-42be-af4b-e2869889cf94,,true,,,
bbfbb0da-404d-4a93-9ecf-e68ca8fd33f7,24c27e01-548a-40f8-974c-2eefbdf4a0fd,食器,,57b32c4e-0985-42be-af4b-e2869889cf94,,true,,,
3dcac295-ec3f-4f24-b20d-23ee72f5bdd4,bed27e2e-d631-45df-9bb9-74809e2f1f11,多肉植物,,64b50182-b527-47a9-81c4-2fd1dc2681e9,,true,,,
bf140194-6e12-4468-a4d0-b0982dd6a917,bed27e2e-d631-45df-9bb9-74809e2f1f11,苗木,,64b50182-b527-47a9-81c4-2fd1dc2681e9,,true,,,
a2fcef11-86fc-49b8-9522-5b6d52eaeeb6,bed27e2e-d631-45df-9bb9-74809e2f1f11,種,,64b50182-b527-47a9-81c4-2fd1dc2681e9,,true,,,
300dbd1d-da32-48d0-a404-e903fe6b2aa5,bed27e2e-d631-45df-9bb9-74809e2f1f11,球根,,64b50182-b527-47a9-81c4-2fd1dc2681e9,,true,,,
cc79024c-c401-4c0d-bcc8-d3bf93997fa1,c2af89a7-33c6-4c76-becd-909c904c0571,鎌,,5df86d0b-002d-4bf5-ac2e-500ec532adaa,,true,,,
c457d2af-561e-4dce-b2bf-d72ed0fe74a7,c2af89a7-33c6-4c76-becd-909c904c0571,のこぎり,,5df86d0b-002d-4bf5-ac2e-500ec532adaa,,true,,,
e61267fd-cde6-4cfb-9834-eae8a9e67038,c2af89a7-33c6-4c76-becd-909c904c0571,ナイフ,,5df86d0b-002d-4bf5-ac2e-500ec532adaa,,true,,,
1535801c-60f8-4514-aa20-aa8b153e675b,c2af89a7-33c6-4c76-becd-909c904c0571,砥石,,5df86d0b-002d-4bf5-ac2e-500ec532adaa,,true,,,
196f2194-d84a-45e2-b749-23a60690e69f,c2af89a7-33c6-4c76-becd-909c904c0571,彫刻刀,,5df86d0b-002d-4bf5-ac2e-500ec532adaa,,true,,,
136c9675-de13-476f-a564-d86cf47472b6,c2af89a7-33c6-4c76-becd-909c904c0571,ドライバー,,5df86d0b-002d-4bf5-ac2e-500ec532adaa,,true,,,
62bb2c6c-45eb-4815-8593-aebfef90cdf2,4e20142d-0644-47fe-89eb-8a8952bef7f5,おにぎり,,53a731e3-c3fe-46c0-921a-36b27ccd63a4,,true,,,
f34eb3db-496f-4f27-8004-bb1fcf8b3d26,4e20142d-0644-47fe-89eb-8a8952bef7f5,お弁当,,53a731e3-c3fe-46c0-921a-36b27ccd63a4,,true,,,
65873e63-5134-4344-a5ed-ab5e40cf14bd,4e20142d-0644-47fe-89eb-8a8952bef7f5,パン,,53a731e3-c3fe-46c0-921a-36b27ccd63a4,,true,,,
f1f38c3b-23c9-4fd8-a13c-1fc2c837c5f0,4e20142d-0644-47fe-89eb-8a8952bef7f5,お餅,,53a731e3-c3fe-46c0-921a-36b27ccd63a4,,true,,,
f142ea16-8204-4b70-b3e1-a4c37b9dcc6b,4e20142d-0644-47fe-89eb-8a8952bef7f5,お菓子,,53a731e3-c3fe-46c0-921a-36b27ccd63a4,,true,,,
